open_timestamp_utc,close_timestamp_utc,open,high,low,close,volume
1556909880,1556909939,62.5,62.73,62.5,62.73,5.0
1556909940,1556909999,62.63,62.63,62.63,62.63,2.1
1556910060,1556910119,62.43,62.64,62.43,62.64,28.35
1556910180,1556910239,62.43,62.55,62.43,62.55,15.58
1556910240,1556910299,62.5,62.5,62.5,62.5,2.0
1556910300,1556910359,62.36,62.36,62.36,62.36,9.98
1556910360,1556910419,62.55,62.55,62.55,62.55,1.15
1556910540,1556910599,62.32,62.32,62.32,62.32,3.61
1556910660,1556910719,62.31,62.45,62.31,62.45,0.815
1556910720,1556910779,62.22,62.22,62.22,62.22,0.305
1556910780,1556910839,62.36,62.36,62.36,62.36,18.63
1556910840,1556910899,62.24,62.24,62.24,62.24,0.823
1556910900,1556910959,62.36,62.37,62.36,62.37,20.4
1556911020,1556911079,62.24,62.24,62.24,62.24,0.0421
1556911080,1556911139,62.24,62.24,62.24,62.24,0.0555
1556911140,1556911199,62.25,62.48,62.25,62.48,31.83
1556911380,1556911439,62.3,62.3,62.3,62.3,0.0425
1556911560,1556911619,62.46,62.46,62.46,62.46,0.161
1556911620,1556911679,62.35,62.46,62.35,62.46,0.322
1556911680,1556911739,62.46,62.46,62.46,62.46,0.572
1556911860,1556911919,62.45,62.45,62.38,62.39,1.3
1556911980,1556912039,62.3,62.3,62.3,62.3,0.0432
1556912040,1556912099,62.35,62.4,62.35,62.4,1.23
1556912220,1556912279,62.4,62.4,62.35,62.35,0.242
1556912580,1556912639,62.51,62.51,62.51,62.51,0.59
1556912700,1556912759,62.45,62.45,62.45,62.45,0.255
1556912760,1556912819,62.5,62.5,62.5,62.5,1.92
1556912820,1556912879,62.45,62.45,62.45,62.45,0.0482
1556913000,1556913059,62.45,62.45,62.45,62.45,1.62
1556913060,1556913119,62.51,62.51,62.51,62.51,1.1
1556913120,1556913179,62.51,62.51,62.45,62.45,4.4
1556913300,1556913359,62.45,62.51,62.45,62.45,3.01
1556913360,1556913419,62.45,62.51,62.45,62.51,0.425
1556913600,1556913659,62.51,62.51,62.51,62.51,10.0
1556913720,1556913779,62.45,62.45,62.45,62.45,0.0534
1556913840,1556913899,62.51,62.51,62.45,62.45,10.43
1556913960,1556914019,62.51,62.51,62.51,62.51,0.018
1556914020,1556914079,62.45,62.45,62.45,62.45,0.05
1556914200,1556914259,62.5,62.5,62.5,62.5,0.0588
1556914440,1556914499,62.52,62.52,62.52,62.52,0.101
1556914500,1556914559,62.53,62.53,62.53,62.53,20.21
1556914620,1556914679,62.7,62.7,62.7,62.7,0.0638
1556914860,1556914919,62.58,62.58,62.58,62.58,0.06
1556914920,1556914979,62.74,62.74,62.52,62.52,4.5
1556914980,1556915039,62.74,62.74,62.74,62.74,0.018
1556915040,1556915099,62.74,62.74,62.74,62.74,0.0903
1556915100,1556915159,62.7,62.71,62.7,62.71,3.37
1556915220,1556915279,62.5,62.5,62.5,62.5,1.6
1556915400,1556915459,62.66,62.66,62.66,62.66,21.0
1556915460,1556915519,62.47,62.47,62.47,62.47,2.0
1556915520,1556915579,62.68,62.68,62.68,62.68,1.22
1556915640,1556915699,62.6,62.6,62.6,62.6,0.0637
1556915700,1556915759,62.59,62.59,62.52,62.52,0.121
1556915760,1556915819,62.51,62.51,62.51,62.51,0.0362
1556915880,1556915939,62.72,62.72,62.72,62.72,1.03
1556915940,1556915999,62.73,62.73,62.73,62.73,17.5
1556916060,1556916119,62.53,62.53,62.53,62.53,0.109
1556916120,1556916179,62.72,62.73,62.72,62.73,0.612
1556916300,1556916359,62.51,62.51,62.51,62.51,0.0556
1556916360,1556916419,62.51,62.71,62.51,62.51,2.06
1556916420,1556916479,62.71,62.71,62.71,62.71,1.71
1556916480,1556916539,62.52,62.52,62.52,62.52,0.0427
1556916540,1556916599,62.72,62.72,62.72,62.72,0.729
1556916600,1556916659,62.51,62.66,62.51,62.66,2.64
1556916840,1556916899,62.47,62.47,62.47,62.47,0.0434
1556916900,1556916959,62.61,62.61,62.6,62.6,1.73
1556916960,1556917019,62.64,62.64,62.64,62.64,3.61
1556917140,1556917199,62.47,62.47,62.47,62.47,4.5
1556917440,1556917499,62.47,62.47,62.45,62.45,2.0
1556917560,1556917619,62.47,62.61,62.47,62.59,6.26
